[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Sergiu\Desktop\aaa.csplog
[F2] Split file series:       	aaa.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	24.05.2023
[F8] File time:               	15:41:40
[S1] Hardware:                	1000
[S2] Driver:                  	2700
[S3] Firmware:                	1100
[S5] dll:                     	5006
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8/10  (6,2,9200,2,[])
[SE] Application:             	CANreal
[S9] App version:             	8.71
[SA] Features:                	0972 (2b Ts Lo St)
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC
[SD] Board serial:            	HN007737
[C1] Net number:              	0
[C2] Bitrate:                 	500.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Desc	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel	Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
           1	    	15:41:17	694.169	       3403.169		         0	       000	      	  2	81	0F	  	  	  	  	  	  	Å_      	
           2	    	15:41:17	817.735	        123.566		      1807	       70F	      	  1	00	  	  	  	  	  	  	  	_       	
           3	    	15:41:19	158.179	       1340.444		         0	       000	      	  2	01	0F	  	  	  	  	  	  	__      	

          27	    	15:41:19	790.255	          2.210		      1551	       60F	      	  8	23	00	18	01	8F	01	00	80	#___è__Ä	
          28	    	15:41:19	790.702	          0.447		      1423	       58F	      	  8	60	00	18	01	00	00	00	00	`_______	
          29	    	15:41:20	574.659	        783.957		      1551	       60F	      	  8	2F	00	1A	00	00	00	00	00	/_______	
          30	    	15:41:20	575.048	          0.389		      1423	       58F	      	  8	60	00	1A	00	00	00	00	00	`_______	
          31	    	15:41:21	686.490	       1111.442		      1551	       60F	      	  8	23	00	1A	01	10	00	7E	20	#_____~_	
          32	    	15:41:21	686.906	          0.416		      1423	       58F	      	  8	80	00	1A	01	41	00	04	06	Ä___A___	
          33	    	15:41:22	462.302	        775.396		      1551	       60F	      	  8	23	00	1A	02	10	00	55	20	#_____U_	
