	
           1	    	17:17:24	152.354	       1771.354		         0	       000	      	  2	81	0F	  	  	  	  	  	  	Å_      	
           2	    	17:17:24	275.934	        123.580		      1807	       70F	      	  1	00	  	  	  	  	  	  	  	_       	
           3	    	17:17:25	736.185	       1460.251		         0	       000	      	  2	01	0F	  	  	  	  	  	  	__      	
          24	    	17:17:26	288.193	         11.946		      1551	       60F	      	  8	23	00	18	01	8F	01	00	80	#___è__Ä	
          25	    	17:17:26	288.627	          0.434		      1423	       58F	      	  8	60	00	18	01	00	00	00	00	`_______	
          26	    	17:17:27	064.571	        775.944		      1551	       60F	      	  8	2F	00	1A	00	00	00	00	00	/_______	
          27	    	17:17:27	064.939	          0.368		      1423	       58F	      	  8	60	00	1A	00	00	00	00	00	`_______	
          28	    	17:17:27	800.507	        735.568		      1551	       60F	      	  8	23	00	1A	01	10	00	77	60	#_____w`	
          29	    	17:17:27	800.858	          0.351		      1423	       58F	      	  8	60	00	1A	01	00	00	00	00	`_______	
          30	    	17:17:28	432.477	        631.619		      1551	       60F	      	  8	23	00	1A	02	10	00	55	20	#_____U_	
          31	    	17:17:28	432.834	          0.357		      1423	       58F	      	  8	60	00	1A	02	00	00	00	00	`_______	
          32	    	17:17:29	088.638	        655.804		      1551	       60F	      	  8	2F	00	1A	00	02	00	00	00	/_______	
          33	    	17:17:29	089.432	          0.794		      1423	       58F	      	  8	60	00	1A	00	00	00	00	00	`_______	
          34	    	17:17:29	792.598	        703.166		      1551	       60F	      	  8	23	00	18	01	8F	01	00	00	#___è___	
          35	    	17:17:29	793.122	          0.524		      1423	       58F	      	  8	60	00	18	01	00	00	00	00	`_______	
          36	    	17:17:29	793.288	          0.166		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          37	    	17:17:29	823.187	         29.899		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          38	    	17:17:29	853.281	         30.094		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          39	    	17:17:29	883.261	         29.980		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          40	    	17:17:29	913.242	         29.981		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          41	    	17:17:29	943.212	         29.970		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          42	    	17:17:29	974.287	         31.075		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
