Start Time  Tuesday January 11 2022 18:24:02,,,,,,,
Bitrate   500 kbit/s,,,,,,,
Operating Mode  Std Ext ErrDet,,,,,,,
Driver Version  4.1.212.0,,,,,,,
Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,793,00:35.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,794,00:35.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,795,00:35.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,796,00:35.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,797,00:35.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,798,00:36.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,799,00:36.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,800,00:36.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,801,00:36.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,802,00:36.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,803,00:36.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,804,00:37.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,805,00:37.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,806,00:37.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,807,00:37.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,808,00:37.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,809,00:37.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,810,00:38.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,811,00:38.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,812,00:38.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,813,00:38.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,814,00:38.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,815,00:38.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,816,00:38.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,817,00:39.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,818,00:39.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,819,00:39.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,820,00:39.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,821,00:39.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,822,00:39.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,823,00:40.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,824,00:40.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,825,00:40.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,826,00:40.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,827,00:40.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,828,00:40.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,829,00:41.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,830,00:41.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,831,00:41.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,832,00:41.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,833,00:41.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,834,00:41.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,835,00:41.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,836,00:42.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,837,00:42.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,838,00:42.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,839,00:42.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,840,00:42.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,841,00:42.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,842,00:43.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,843,00:43.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,844,00:43.3,      ,80,1,1,.
USB-to-CAN V2 compact  CAN-1,845,00:43.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,846,00:43.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,847,00:43.7,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,848,00:43.7,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,849,00:43.8,      ,704,1,7F,
USB-to-CAN V2 compact  CAN-1,850,00:44.0,      ,705,1,7F,
USB-to-CAN V2 compact  CAN-1,851,00:44.0,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,852,00:44.2,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,853,00:44.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,854,00:44.4,      ,706,1,7F,
USB-to-CAN V2 compact  CAN-1,855,00:44.6,      ,703,1,5,.
