Start Time  Tuesday January 11 2022 18:32:33,,,,,,,
Bitrate   500 kbit/s,,,,,,,
Operating Mode  Std Ext ErrDet,,,,,,,
Driver Version  4.1.212.0,,,,,,,
Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,54,00:06.3,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,55,00:06.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,56,00:06.6,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,57,00:06.6,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,58,00:06.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,59,00:06.9,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,60,00:07.0,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,61,00:07.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,62,00:07.2,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,63,00:07.4,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,64,00:07.5,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,65,00:07.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,66,00:07.7,      ,705,1,5,.
USB-to-CAN V2 compact  CAN-1,67,00:07.8,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,68,00:07.9,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,69,00:08.1,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,70,00:08.1,      ,706,1,5,.
USB-to-CAN V2 compact  CAN-1,71,00:08.3,      ,703,1,5,.
USB-to-CAN V2 compact  CAN-1,72,00:08.4,      ,702,1,5,.
USB-to-CAN V2 compact  CAN-1,73,00:08.5,      ,182,4,00 00 F2 00,....
USB-to-CAN V2 compact  CAN-1,74,00:08.5,      ,704,1,5,.
USB-to-CAN V2 compact  CAN-1,75,00:08.7,      ,702,1,5,.
