Start Time  Tuesday January 11 2022 18:31:09
Bitrate   500 kbit/s
Operating Mode  Std Ext ErrDet
Driver Version  4.1.212.0
"Bus","No","Time","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","49","00:00:05.762","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","50","00:00:05.796","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","51","00:00:05.870","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","52","00:00:05.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","53","00:00:06.170","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","54","00:00:06.231","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","55","00:00:06.326","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","56","00:00:06.470","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","57","00:00:06.669","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","58","00:00:06.761","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","59","00:00:06.769","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","60","00:00:06.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","61","00:00:07.070","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","62","00:00:07.107","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","63","00:00:07.326","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","64","00:00:07.370","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","65","00:00:07.542","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","66","00:00:07.670","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","67","00:00:07.761","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","68","00:00:07.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","69","00:00:07.970","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","70","00:00:07.980","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","71","00:00:08.270","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","72","00:00:08.326","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","73","00:00:08.416","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","74","00:00:08.570","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","75","00:00:08.761","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","76","00:00:08.853","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","77","00:00:08.870","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","78","00:00:08.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","79","00:00:09.170","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","80","00:00:09.291","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","81","00:00:09.326","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","82","00:00:09.470","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","83","00:00:09.726","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","84","00:00:09.761","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","85","00:00:09.770","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","86","00:00:09.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","87","00:00:10.070","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","88","00:00:10.164","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","89","00:00:10.326","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","90","00:00:10.370","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","91","00:00:10.601","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","92","00:00:10.631","      ","182","4","12 00 00 00","...."
"USB-to-CAN V2 compact  CAN-1","93","00:00:10.670","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","94","00:00:10.761","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","95","00:00:10.836","      ","182","4","5A 00 00 00","Z..."
"USB-to-CAN V2 compact  CAN-1","96","00:00:10.842","      ","606","8","2F 60 60 00 01 00 00 00","/``....."
"USB-to-CAN V2 compact  CAN-1","97","00:00:10.842","      ","586","8","60 60 60 00 00 00 00 00","```....."
"USB-to-CAN V2 compact  CAN-1","98","00:00:10.860","      ","206","2","0F 20",". "
"USB-to-CAN V2 compact  CAN-1","99","00:00:10.861","      ","186","6","33 07 B3 DD FF FF","3....."
"USB-to-CAN V2 compact  CAN-1","100","00:00:10.934","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","101","00:00:10.937","      ","186","6","37 86 B3 DD FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","102","00:00:10.962","      ","406","8","00 00 00 00 00 00 02 00","........"
"USB-to-CAN V2 compact  CAN-1","103","00:00:10.970","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","104","00:00:10.986","      ","186","6","37 86 B4 DD FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","105","00:00:11.016","      ","186","6","37 86 B5 DD FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","106","00:00:11.041","      ","182","4","64 00 00 00","d..."
"USB-to-CAN V2 compact  CAN-1","107","00:00:11.047","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","108","00:00:11.071","      ","186","6","37 86 B4 DD FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","109","00:00:11.079","      ","306","8","C8 71 FA FF 70 93 18 00",".q..p..."
"USB-to-CAN V2 compact  CAN-1","110","00:00:11.102","      ","206","2","3F 20","? "
"USB-to-CAN V2 compact  CAN-1","111","00:00:11.103","      ","186","6","37 92 B4 DD FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","112","00:00:11.130","      ","206","2","2F 20","/ "
"USB-to-CAN V2 compact  CAN-1","113","00:00:11.130","      ","306","8","C8 71 FA FF 7D 4E 1B 00",".q..}N.."
