Start Time  Tuesday January 11 2022 18:05:13
Bitrate   500 kbit/s
Operating Mode  Std Ext ErrDet
Driver Version  4.1.212.0
"Bus","No","Time","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","153","00:00:17.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","154","00:00:17.941","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","155","00:00:18.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","156","00:00:18.014","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","157","00:00:18.241","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","158","00:00:18.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","159","00:00:18.450","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","160","00:00:18.541","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","161","00:00:18.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","162","00:00:18.841","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","163","00:00:18.887","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","164","00:00:19.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","165","00:00:19.143","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","166","00:00:19.325","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","167","00:00:19.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","168","00:00:19.442","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","169","00:00:19.742","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","170","00:00:19.760","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","171","00:00:19.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","172","00:00:20.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","173","00:00:20.042","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","174","00:00:20.198","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","175","00:00:20.342","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","176","00:00:20.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","177","00:00:20.634","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","178","00:00:20.642","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","179","00:00:20.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","180","00:00:20.942","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","181","00:00:21.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","182","00:00:21.071","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","183","00:00:21.242","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","184","00:00:21.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","185","00:00:21.509","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","186","00:00:21.542","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","187","00:00:21.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","188","00:00:21.842","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","189","00:00:21.944","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","190","00:00:22.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","191","00:00:22.064"," S    ","605","8","40 07 60 00 00 00 00 00","@.`....."
"USB-to-CAN V2 compact  CAN-1","192","00:00:22.065","      ","585","8","4B 07 60 00 01 00 00 00","K.`....."
"USB-to-CAN V2 compact  CAN-1","193","00:00:22.142","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","194","00:00:22.382","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","195","00:00:22.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","196","00:00:22.442","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","197","00:00:22.743","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","198","00:00:22.819","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","199","00:00:22.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","200","00:00:23.008","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","201","00:00:23.042","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","202","00:00:23.256","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","203","00:00:23.342","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","204","00:00:23.402","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","205","00:00:23.643","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","206","00:00:23.694","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","207","00:00:23.824","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","208","00:00:23.943","      ","702","1","05","."
